born,name,party,term
"(1958-04-25) April 25, 1958 (age 58) Roseville, California",Ted Gaines,Republican,Member of the California Senate from the 1st district
"(1979-07-07) July 7, 1979 (age 37) Healdsburg, California",Mike McGuire,Democratic,Member of the California State Senate from the 2nd district
"William Harold Dodd (1956-06-10) June 10, 1956 (age 60) Napa, California",Bill Dodd,Democratic (2013–present),Member of the California State Senate from the 3rd district
"(1944-07-31) July 31, 1944 (age 72) Fresno, California",Jim Nielsen,Republican,Member of the California State Senate from the 4th district
"(1964-01-04) January 4, 1964 (age 53) Stockton, California",Cathleen Galgiani,Democratic,Member of the California State Senate from the 5th district
"(1965-10-28) October 28, 1965 (age 51)","Richard Pan M.D., M.P.H., FAAP",Democratic,Member of the California State Senate from the 6th district
"Steven Mitchell Glazer (1957-08-10) August 10, 1957 (age 59) Sacramento, California",Steve Glazer,Democratic,Member of the California State Senate from the 7th district
"Thomas Charles Berryhill (1953-08-27) August 27, 1953 (age 63) Ceres, California",Tom Berryhill,Republican,Member of the California State Senate from the 8th district
"(1954-08-12) August 12, 1954 (age 62)",Nancy Skinner,Democratic,Member of the California State Senate from the 9th district
"(1955-02-18) February 18, 1955 (age 62) San Francisco, California[1]",Bob Wieckowski,Democratic,Member of the California State Senate from the 10th district
"(1970-05-11) May 11, 1970 (age 46) Philadelphia, Pennsylvania",Scott Wiener,Democratic,Member of the California State Senate from the 11th district
"(1969-03-22) March 22, 1969 (age 48)[1] New Idria, California",Anthony Cannella,Republican,Member of the California State Senate from the 12th district
"(1947-04-18) April 18, 1947 (age 70) San Francisco, California",Jerry Hill,Democratic,Member of the California State Senate from the 13th district
"(1965-11-13) November 13, 1965 (age 51) Visalia, California, U.S.",Andy Vidak,Republican,Member of the California State Senate from the 14th district
"James Thomas Beall, Jr. (1952-12-07) December 7, 1952 (age 64) San Jose, California",Jim Beall,Democratic,Member of the California State Senate from the 15th district
"Jeannie Lynn Guenther (1950-04-16) April 16, 1950 (age 67) Bakersfield, California",Jean Fuller,Republican,California State Senate Republican Leader
"(1951-04-02) April 2, 1951 (age 66) Los Angeles, California","William ""Bill"" Monning",Democratic,Member of the California State Senate from the 17th district
"(1954-11-19) November 19, 1954 (age 62) Los Angeles, California","Robert M. ""Bob"" Hertzberg",Democratic,Member of the California State Senate from the 18th district
"(1950-05-19) May 19, 1950 (age 66) Boston, Massachusetts",Hannah-Beth Jackson,Democratic,Member of the California State Senate from the 19th district
"(1967-02-19) February 19, 1967 (age 50)",Connie Leyva,Democratic,Member of the California State Senate from the 20th district
"(1959-03-16) March 16, 1959 (age 58) Lancaster, California",Scott Thomas Wilk,Republican,Member of the California State Senate from the 21st district
"Edward Paul Hernandez (1957-10-17) October 17, 1957 (age 59) Montebello, California",Ed Hernandez,Democratic,Member of the California State Senate from the 22nd district 24th district (2010–2014)
"(1952-10-14) October 14, 1952 (age 64) Covina, California",Mike Morrell,Republican,Member of the California State Senate from the 23rd district
"Kevin Alexander Leon (1966-12-10) December 10, 1966 (age 50) San Diego, California, U.S.",Kevin de León,Democratic,President pro tempore of the California Senate
"(1961-01-29) January 29, 1961 (age 56) Long Branch, New Jersey",Anthony J. Portantino,Democratic,Member of the California State Senate from the 25th district
"(1978-03-13) March 13, 1978 (age 39) Santa Monica, California, U.S.",Ben Allen,Democratic,Member of the California State Senate from the 26th district
"(1982-04-12) April 12, 1982 (age 35) Malibu, California",Henry Stern,Democratic,Member of the California State Senate from the 27th district
"(1956-01-30) January 30, 1956 (age 61) Los Angeles, California",Jeff Stone,Republican,Member of the California State Senate from the 28th district
"(1964-10-17) October 17, 1964 (age 52)",Josh Newman,Democratic,Member of the California State Senate from the 29th district
"(1964-09-07) September 7, 1964 (age 52) Los Angeles, California",Holly Mitchell,Democratic,Member of the California State Senate from the 30th district 26th district (2013–2014)
"(1950-11-06) November 6, 1950 (age 66) Columbus, Ohio",Richard D. Roth,Democratic,Member of the California State Senate from the 31st district
"(1971-04-22) April 22, 1971 (age 45) Los Angeles, California",Tony Mendoza,Democratic,Member of the California State Senate from the 32nd district
"(1974-11-05) November 5, 1974 (age 42) Commerce, California",Ricardo Lara,Democratic,Member of the California State Senate from the 33rd district
"(1976-05-01) May 1, 1976 (age 40) Saigon, Vietnam",Janet Nguyen,Republican,Member of the California State Senate from the 34th district
"(1960-01-12) January 12, 1960 (age 57)",Steven Bradford,Democratic,Member of the California State Senate from the 35th district
"(1939-12-15) December 15, 1939 (age 77) Los Angeles, California",Patricia Bates,Republican,California State Senate Republican Leader
"Johannes Meindert Willem Moorlach[1] (1955-12-21) December 21, 1955 (age 61) Groningen, Netherlands",John M. W. Moorlach,Republican,Member of the California State Senate from the 37th district
"(1960-02-11) February 11, 1960 (age 57) Detroit, Michigan, U.S.",Joel Anderson,Republican,Member of the California State Senate from the 38th district 36th district (2010–2014)
"(1962-08-01) August 1, 1962 (age 54) Wythe County, Virginia, U.S.",Toni Atkins,Democratic,Member of the California State Senate from the 39th district
"(1969-09-02) September 2, 1969 (age 47) San Diego, California","Benjamin ""Ben"" Hueso",Democratic,Member of the California State Senate from the 40th district
